epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,598.443,1.22396,1.17622,1.12947,0.85607,0.33725,0.44214,0.30693,1.3872,1.17663,1.11059,0.0087724,0.0087724,0.0087724
64,607.639,1.22912,1.16816,1.12036,0.78631,0.3817,0.42392,0.29806,1.38742,1.17806,1.10208,0.0087526,0.0087526,0.0087526
65,616.83,1.22215,1.1745,1.12878,0.83503,0.37185,0.42531,0.29454,1.37617,1.17603,1.099,0.0087328,0.0087328,0.0087328
66,626.036,1.23172,1.17075,1.12968,0.83269,0.36957,0.42985,0.30288,1.37608,1.19123,1.09876,0.008713,0.008713,0.008713
67,635.239,1.22227,1.15868,1.12593,0.37644,0.45347,0.42232,0.30667,1.36231,1.16994,1.09603,0.0086932,0.0086932,0.0086932
68,644.415,1.21004,1.15533,1.12029,0.84065,0.3607,0.44093,0.30813,1.36506,1.16525,1.09054,0.0086734,0.0086734,0.0086734
69,653.618,1.2219,1.15546,1.12487,0.84592,0.36173,0.43213,0.30538,1.3472,1.15935,1.08344,0.0086536,0.0086536,0.0086536
70,662.834,1.21531,1.15118,1.11978,0.82127,0.36322,0.44658,0.30784,1.34357,1.15218,1.07987,0.0086338,0.0086338,0.0086338
71,672.058,1.22914,1.15866,1.12124,0.79639,0.38016,0.43674,0.3,1.35576,1.1905,1.08474,0.008614,0.008614,0.008614
72,681.231,1.21004,1.14158,1.11144,0.66891,0.3785,0.44659,0.30725,1.35084,1.17458,1.08745,0.0085942,0.0085942,0.0085942
73,690.39,1.20249,1.14986,1.12088,0.52702,0.4896,0.45005,0.30821,1.33137,1.13602,1.07764,0.0085744,0.0085744,0.0085744
74,699.599,1.21145,1.14371,1.11541,0.43321,0.5247,0.47902,0.32036,1.33822,1.12983,1.07873,0.0085546,0.0085546,0.0085546
75,708.882,1.20025,1.13263,1.11032,0.60982,0.45832,0.47048,0.32621,1.34374,1.12698,1.08313,0.0085348,0.0085348,0.0085348
76,718.107,1.20511,1.14,1.11842,0.37689,0.47707,0.45285,0.312,1.34159,1.12427,1.07826,0.008515,0.008515,0.008515
77,727.315,1.19629,1.1179,1.11072,0.42825,0.51051,0.45192,0.3129,1.35101,1.13926,1.08355,0.0084952,0.0084952,0.0084952
78,736.498,1.2001,1.12646,1.11278,0.50764,0.45225,0.43655,0.3109,1.33964,1.14093,1.08237,0.0084754,0.0084754,0.0084754
79,745.698,1.20962,1.12891,1.11317,0.4136,0.48653,0.44349,0.31336,1.33007,1.15029,1.0767,0.0084556,0.0084556,0.0084556
80,754.862,1.18452,1.10819,1.10711,0.48706,0.42199,0.44594,0.31503,1.32252,1.14993,1.07092,0.0084358,0.0084358,0.0084358
81,764.048,1.20962,1.13257,1.11218,0.51893,0.46731,0.4586,0.32543,1.32037,1.10026,1.07155,0.008416,0.008416,0.008416
82,773.247,1.19835,1.11857,1.10477,0.82572,0.38345,0.4369,0.31111,1.31876,1.11007,1.06907,0.0083962,0.0083962,0.0083962
83,782.459,1.19486,1.10438,1.1068,0.39949,0.48411,0.44198,0.30696,1.31733,1.11461,1.06948,0.0083764,0.0083764,0.0083764
84,791.654,1.19957,1.11572,1.11044,0.41164,0.4838,0.44539,0.31434,1.31479,1.10727,1.06594,0.0083566,0.0083566,0.0083566
85,800.886,1.18776,1.10313,1.09888,0.39661,0.45765,0.44398,0.31907,1.31619,1.112,1.06345,0.0083368,0.0083368,0.0083368
86,810.09,1.20965,1.11347,1.10768,0.40233,0.45038,0.43828,0.3154,1.31355,1.1073,1.06281,0.008317,0.008317,0.008317
87,819.31,1.20597,1.12368,1.10779,0.44853,0.50228,0.45198,0.31666,1.31835,1.11604,1.06453,0.0082972,0.0082972,0.0082972
88,828.509,1.19105,1.10288,1.10386,0.41103,0.43582,0.45007,0.31756,1.31426,1.0967,1.06418,0.0082774,0.0082774,0.0082774
